,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saint-philippe,CA,1555951342.0,1.0,55.0,45.36,-73.48,64.0,12.75
1,ulladulla,AU,1555951456.0,90.0,88.0,-35.36,150.48,64.99,11.41
2,horsching,AT,1555950997.0,52.0,28.0,48.23,14.18,71.01,18.34
3,victoria,BN,1555948800.0,75.0,83.0,5.28,115.24,86.0,4.7
4,lesnoy,RU,1555951534.0,46.0,80.0,59.78,52.13,43.04,7.52
5,georgetown,GY,1555948800.0,40.0,70.0,6.8,-58.16,89.6,13.87
6,ambilobe,MG,1555951535.0,100.0,90.0,-13.19,49.05,75.98,4.85
7,alamogordo,US,1555951513.0,1.0,34.0,32.9,-105.96,71.01,12.75
8,atuona,PF,1555951537.0,18.0,78.0,-9.8,-139.03,83.18,16.06
9,butaritari,KI,1555951263.0,93.0,80.0,3.07,172.79,84.08,21.99
10,mataura,NZ,1555951204.0,12.0,95.0,-46.19,168.86,44.01,3.0
12,cayenne,GF,1555948800.0,75.0,70.0,4.94,-52.33,84.2,11.41
13,alakurtti,RU,1555951542.0,78.0,96.0,66.96,30.34,36.56,6.82
14,ushuaia,AR,1555948800.0,75.0,87.0,-54.81,-68.31,44.6,5.37
15,coquimbo,CL,1555948800.0,0.0,67.0,-29.95,-71.34,62.6,11.41
16,albany,US,1555951519.0,40.0,52.0,42.65,-73.75,70.0,13.87
18,mar del plata,AR,1555951545.0,98.0,36.0,-46.43,-67.52,65.0,15.43
19,faanui,PF,1555951545.0,74.0,76.0,-16.48,-151.75,83.72,9.42
20,ribeira grande,PT,1555948800.0,20.0,55.0,38.52,-28.7,60.8,17.22
21,bredasdorp,ZA,1555951509.0,39.0,72.0,-34.53,20.04,66.2,16.11
22,bluff,AU,1555951551.0,5.0,84.0,-23.58,149.07,66.62,14.54
24,jamestown,AU,1555951341.0,0.0,65.0,-33.21,138.6,53.66,6.62
25,vaini,IN,1555951553.0,18.0,65.0,15.34,74.49,78.86,2.48
26,simpang,MY,1555948800.0,75.0,88.0,4.82,100.71,80.6,3.09
27,himmaste,EE,1555950016.0,1.0,25.0,58.09,27.09,66.2,4.7
28,longyearbyen,NO,1555948200.0,75.0,44.0,78.22,15.63,19.4,3.36
29,beringovskiy,RU,1555951558.0,34.0,93.0,63.05,179.32,-1.79,5.91
30,souillac,FR,1555951551.0,0.0,42.0,45.6,-0.6,68.0,8.05
31,tuni,BO,1555948800.0,40.0,50.0,-16.67,-68.14,55.4,8.05
32,saint george,GR,1555950813.0,75.0,45.0,39.45,22.34,63.0,9.17
33,puerto ayora,EC,1555951528.0,75.0,83.0,-0.74,-90.35,80.6,11.41
34,arraial do cabo,BR,1555948800.0,0.0,74.0,-22.97,-42.02,91.4,9.17
35,comodoro rivadavia,AR,1555948800.0,0.0,39.0,-45.87,-67.48,66.2,8.05
36,rikitea,PF,1555951564.0,82.0,81.0,-23.12,-134.97,79.22,15.46
37,koindu,LR,1555951565.0,55.0,52.0,8.2,-10.37,88.76,6.38
39,luderitz,NA,1555948800.0,0.0,49.0,-26.65,15.16,71.6,17.22
40,roma,IT,1555951460.0,90.0,72.0,41.89,12.48,62.6,6.93
41,rio grande,BR,1555948800.0,75.0,49.0,-32.03,-52.1,73.4,4.7
42,sept-iles,CA,1555951407.0,20.0,39.0,50.2,-66.38,48.0,8.05
43,hilo,US,1555951505.0,40.0,72.0,19.71,-155.08,70.0,5.82
45,hermanus,ZA,1555951509.0,4.0,79.0,-34.42,19.24,68.0,13.0
46,nanortalik,GL,1555951324.0,100.0,70.0,60.14,-45.24,33.32,34.74
47,orel,UA,1555948800.0,0.0,28.0,47.02,29.78,59.0,5.82
48,punta arenas,CL,1555951396.0,90.0,87.0,-53.16,-70.91,46.4,6.93
50,port alfred,ZA,1555951326.0,100.0,94.0,-33.59,26.89,60.01,5.99
51,gujranwala,PK,1555948800.0,0.0,57.0,32.15,74.19,80.6,4.7
52,morondava,MG,1555951583.0,12.0,75.0,-20.3,44.28,83.54,14.54
53,kavieng,PG,1555951583.0,58.0,68.0,-2.57,150.8,83.36,1.21
54,kapaa,US,1555951096.0,40.0,78.0,22.08,-159.32,73.4,13.87
55,carlisle,GB,1555948200.0,12.0,32.0,54.89,-2.94,68.0,14.99
56,qaanaaq,GL,1555951584.0,83.0,94.0,77.48,-69.36,-3.95,3.96
57,kodiak,US,1555951508.0,90.0,37.0,39.95,-94.76,71.6,16.11
58,wichita falls,US,1555951219.0,75.0,73.0,33.91,-98.49,73.4,12.75
59,pevek,RU,1555951584.0,0.0,84.0,69.7,170.27,-0.53,4.41
60,cape town,ZA,1555951376.0,20.0,52.0,-33.93,18.42,70.0,14.99
62,te anau,NZ,1555951585.0,12.0,85.0,-45.41,167.72,42.5,4.12
64,abu kamal,SY,1555951585.0,36.0,34.0,34.45,40.92,61.94,13.31
65,tiksi,RU,1555951585.0,2.0,90.0,71.64,128.87,11.72,7.2
66,esperance,TT,1555951578.0,75.0,66.0,10.24,-61.45,88.0,14.99
67,nome,US,1555951577.0,40.0,57.0,30.04,-94.42,77.0,13.87
68,hervey bay,AU,1555951508.0,40.0,100.0,-25.3,152.85,71.01,8.05
69,magadi,IN,1555951432.0,40.0,88.0,12.96,77.22,89.01,17.22
70,katherine,AU,1555948800.0,29.0,73.0,-14.47,132.26,69.8,5.82
71,mitzic,GA,1555951588.0,100.0,93.0,0.78,11.55,75.62,0.76
73,nikolskoye,RU,1555951469.0,0.0,52.0,59.7,30.79,57.99,8.95
74,maldonado,UY,1555948800.0,75.0,51.0,-34.91,-54.96,62.6,8.05
75,vyborg,RU,1555950905.0,99.0,61.0,60.71,28.74,57.0,7.07
76,mount gambier,AU,1555948800.0,0.0,93.0,-37.83,140.78,39.2,2.53
78,taseyevo,RU,1555951596.0,80.0,84.0,57.22,94.9,27.56,4.07
79,soltsy,RU,1555951598.0,2.0,55.0,58.12,30.32,52.4,3.11
80,aklavik,CA,1555948800.0,40.0,85.0,68.22,-135.01,17.6,13.87
81,okato,NZ,1555951604.0,55.0,77.0,-39.19,173.88,60.14,7.29
82,riyadh,SA,1555948800.0,0.0,13.0,24.63,46.72,71.6,13.87
84,salalah,OM,1555948200.0,40.0,70.0,17.01,54.1,84.2,6.93
85,tasiilaq,GL,1555948200.0,84.0,86.0,65.61,-37.64,30.2,2.24
86,royan,FR,1555951551.0,0.0,42.0,45.62,-1.03,68.0,8.05
87,varhaug,NO,1555951522.0,0.0,50.0,58.61,5.65,68.0,12.75
88,barrow,AR,1555951607.0,0.0,31.0,-38.31,-60.23,71.3,2.13
89,honningsvag,NO,1555948200.0,75.0,80.0,70.98,25.97,41.0,11.41
92,sitka,US,1555951608.0,19.0,48.0,37.17,-99.65,68.06,18.77
93,busselton,AU,1555951553.0,49.0,69.0,-33.64,115.35,51.01,12.06
94,saskylakh,RU,1555951608.0,56.0,91.0,71.97,114.09,5.24,8.32
95,tuatapere,NZ,1555951204.0,31.0,95.0,-46.13,167.69,44.01,4.81
97,totness,US,1555951579.0,1.0,46.0,33.74,-80.8,73.99,6.93
98,valparaiso,US,1555951600.0,75.0,28.0,41.47,-87.06,75.0,12.75
99,bambous virieux,MU,1555951143.0,40.0,83.0,-20.34,57.76,80.6,6.93
100,avarua,CK,1555948800.0,76.0,64.0,-21.21,-159.78,73.4,6.93
101,sao filipe,CV,1555951610.0,35.0,81.0,14.9,-24.5,71.3,17.96
102,hami,CN,1555951615.0,99.0,31.0,42.84,93.51,69.32,21.72
103,makakilo city,US,1555951607.0,1.0,77.0,21.35,-158.09,75.2,4.7
104,rio gallegos,AR,1555948800.0,75.0,81.0,-51.62,-69.22,44.6,3.36
105,clyde river,CA,1555948800.0,40.0,76.0,70.47,-68.59,-5.81,5.82
106,mehamn,NO,1555948200.0,75.0,75.0,71.03,27.85,41.0,10.29
107,yellowknife,CA,1555951374.0,20.0,59.0,62.45,-114.38,37.4,12.75
108,luanda,AO,1555951502.0,66.0,84.0,-8.83,13.24,81.74,11.83
109,zalantun,CN,1555951620.0,29.0,35.0,48.0,122.72,44.84,16.96
110,katsuura,JP,1555951083.0,40.0,63.0,33.93,134.5,60.8,12.75
112,avera,US,1555951579.0,1.0,43.0,33.19,-82.53,75.0,2.06
113,namibe,AO,1555951621.0,47.0,82.0,-15.19,12.15,72.74,8.99
115,new norfolk,AU,1555951574.0,40.0,76.0,-42.78,147.06,50.0,8.05
116,torbay,CA,1555951550.0,90.0,100.0,47.66,-52.73,57.0,19.46
117,smithers,CA,1555948800.0,75.0,75.0,54.78,-127.17,46.4,11.41
118,santa marta de tormes,ES,1555948800.0,0.0,48.0,40.95,-5.63,60.8,14.99
119,quelimane,MZ,1555951626.0,41.0,96.0,-17.88,36.89,70.4,3.15
120,khatanga,RU,1555951629.0,100.0,94.0,71.98,102.47,20.54,9.89
122,cody,US,1555951528.0,90.0,86.0,44.53,-109.06,48.99,4.92
123,hobart,AU,1555951454.0,40.0,76.0,-42.88,147.33,50.0,8.05
124,isla vista,US,1555951620.0,90.0,76.0,34.41,-119.86,69.01,3.31
